,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,7.536041666666679,0.10848596974249908,69.46558789633472,5.783983867112437e-240,7.322829244343141,7.7492540889902175
"C(education, Treatment(reference='ED0-2'))[T.ED3_4]",0.409374999999986,0.04310795316345534,9.496507487788417,1.3756381965005107e-19,0.3246529743112639,0.4940970256887081
"C(education, Treatment(reference='ED0-2'))[T.ED5-8]",0.7712500000000166,0.04310795316345561,17.89113013729998,3.02431356760794e-54,0.686527974311294,0.8559720256887393
"C(age_group, Treatment(reference='Y16-24'))[T.Y25-34]",-0.4364583333333417,0.05565212823038517,-7.8426171147762584,3.3414097264072274e-14,-0.5458339981831366,-0.3270826684835468
"C(age_group, Treatment(reference='Y16-24'))[T.Y35-49]",-0.49583333333333685,0.05565212823038451,-8.909512521798325,1.3481378983709498e-17,-0.6052089981831305,-0.3864576684835432
"C(age_group, Treatment(reference='Y16-24'))[T.Y50-64]",-0.581250000000013,0.05565212823038465,-10.44434451084775,5.701161750452301e-23,-0.6906256648498069,-0.4718743351502191
"C(age_group, Treatment(reference='Y16-24'))[T.Y_GE65]",-0.5343749999999986,0.0556521282303845,-9.602058663198523,5.912195835413243e-20,-0.6437506648497923,-0.424999335150205
"C(country, Treatment(reference='AT'))[T.BE]",0.019999999999974705,0.1407899854750172,0.1420555583729615,0.8871008484277618,-0.2567009772164792,0.29670097721642863
"C(country, Treatment(reference='AT'))[T.BG]",-1.120000000000035,0.1407899854750166,-7.955111268896188,1.5153966693171537e-14,-1.3967009772164878,-0.8432990227835823
"C(country, Treatment(reference='AT'))[T.CH]",0.03999999999998405,0.14078998547501584,0.28411111674617173,0.7764582733642142,-0.2367009772164672,0.3167009772164353
"C(country, Treatment(reference='AT'))[T.CY]",-0.1266666666666655,0.14078998547501645,-0.8996852030298905,0.3687776886917883,-0.40336764388311797,0.15003431054978691
"C(country, Treatment(reference='AT'))[T.CZ]",-0.09333333333335148,0.14078998547501592,-0.6629259390747936,0.5077235424205921,-0.3700343105498029,0.18336764388309995
"C(country, Treatment(reference='AT'))[T.DE]",-0.520000000000018,0.14078998547501687,-3.6934445177018063,0.00024894188116745007,-0.7967009772164713,-0.24329902278356474
"C(country, Treatment(reference='AT'))[T.DK]",-0.08000000000001162,0.14078998547501617,-0.5682222334926512,0.5701726262397158,-0.35670097721646354,0.1967009772164403
"C(country, Treatment(reference='AT'))[T.EA20]",1.5202100445449053e-16,7.599380677133455e-17,2.0004393899087316,0.046064060431443885,2.6669113698092518e-18,3.013750975391718e-16
"C(country, Treatment(reference='AT'))[T.EE]",-0.4666666666666623,0.1407899854750166,-3.314629695373277,0.0009932009978054573,-0.7433676438831149,-0.18996568945020958
"C(country, Treatment(reference='AT'))[T.EL]",-0.6666666666666821,0.1407899854750164,-4.735185279104841,2.9525209164113647e-06,-0.9433676438831344,-0.38996568945022975
"C(country, Treatment(reference='AT'))[T.ES]",-0.2400000000000111,0.14078998547501634,-1.704666700477783,0.08895931755181787,-0.5167009772164632,0.03670097721644111
"C(country, Treatment(reference='AT'))[T.EU27_2020]",3.137327093103888e-15,5.352179920957471e-16,5.861774341365266,8.967710501488214e-09,2.085438772091165e-15,4.189215414116611e-15
"C(country, Treatment(reference='AT'))[T.FI]",0.23333333333332007,0.14078998547501645,1.6573148476865613,0.098165402638465,-0.043367643883132356,0.5100343105497724
"C(country, Treatment(reference='AT'))[T.FR]",-0.3533333333333409,0.14078998547501645,-2.5096481979255607,0.01244165255185343,-0.6300343105497933,-0.07663235611688846
"C(country, Treatment(reference='AT'))[T.HR]",-0.18000000000001393,0.14078998547501645,-1.278500025358376,0.20174408773762176,-0.45670097721646635,0.0967009772164385
"C(country, Treatment(reference='AT'))[T.HU]",-0.40000000000001046,0.14078998547501645,-2.841111167462912,0.004703479655015391,-0.6767009772164629,-0.12329902278355803
"C(country, Treatment(reference='AT'))[T.IE]",-0.06666666666668508,0.14078998547501645,-0.47351852791060384,0.6360770706325205,-0.3433676438831375,0.21003431054976734
"C(country, Treatment(reference='AT'))[T.IT]",-0.200000000000007,0.14078998547501634,-1.4205555837314698,0.15615102224582822,-0.4767009772164592,0.0767009772164452
"C(country, Treatment(reference='AT'))[T.LT]",-0.30666666666668796,0.14078998547501656,-2.178185228388325,0.029920103197764277,-0.5833676438831406,-0.02996568945023531
"C(country, Treatment(reference='AT'))[T.LU]",-0.36666666666667513,0.14078998547501648,-2.604351903507661,0.00951489237628662,-0.6433676438831276,-0.08996568945022265
"C(country, Treatment(reference='AT'))[T.LV]",-0.593333333333347,0.14078998547501642,-4.214314898403308,3.0389815873839913e-05,-0.8700343105497994,-0.31663235611689466
"C(country, Treatment(reference='AT'))[T.MK]",-1.2333333333333423,0.1407899854750165,-8.76009276634381,4.198162632456671e-17,-1.5100343105497949,-0.9566323561168897
"C(country, Treatment(reference='AT'))[T.MT]",0.04666666666664998,0.14078998547501648,0.33146296953721255,0.7404519061503778,-0.2300343105498025,0.32336764388310246
"C(country, Treatment(reference='AT'))[T.NL]",-0.0066666666666741915,0.1407899854750167,-0.047351852791100664,0.9622541892100651,-0.28336764388312713,0.2700343105497787
"C(country, Treatment(reference='AT'))[T.NO]",-0.0066666666666810315,0.14078998547501642,-0.04735185279114934,0.9622541892100264,-0.2833676438831334,0.27003431054977134
"C(country, Treatment(reference='AT'))[T.PL]",0.046666666666659994,0.14078998547501645,0.3314629695372837,0.7404519061503241,-0.23003431054979243,0.3233676438831124
"C(country, Treatment(reference='AT'))[T.PT]",-0.046666666666681955,0.14078998547501645,-0.3314629695374397,0.7404519061502063,-0.3233676438831344,0.23003431054977047
